kisi,zaman,adres,twit,begeni_saysi,rt_sayisi,yorum_sayisi
@tcmeb,2020-10-14T09:55:24.000Z,/tcmeb/status/1316316667631341570,"HES kodu ile öğrenci ve öğretmenlerimiz nasıl takip ediliyor
#Hocambirdakika",67,67,67
@tcmeb,2020-10-14T08:10:14.000Z,/tcmeb/status/1316290203343036417,"Bir Sorum Var 
 Ders saatleri azaltılacak ama müfredat aynı. Peki dersler nasıl yetişecek
#Hocambirdakika",84,84,84
@ziyaselcuk,2020-10-14T06:39:24.000Z,/ziyaselcuk/status/1316267341999681536,"Yüz yüze eğitimin ikinci aşamasında milyonlarca öğrencimizi okullarına ve öğretmenlerine sağlıkla ve güvenle kavuşturmanın heyecanını yaşıyoruz. Velilerimizin tedbirlerdeki duyarlılığıyla diliyoruz ki tüm öğrencilerimizle okullarımızda buluşalım. İşte, bir haftanın özeti...",113,113,113
@tcmeb,2020-10-13T15:05:19.000Z,/tcmeb/status/1316032275390369793,"Okullarda Covid-19 vakası durumunda, Sağlık Bakanlığının Bilimsel Danışma Kurulu çalışmasıyla hazırladığı rehberdeki yol haritası adım adım takip edilecek",21,21,21
@tcmeb,2020-10-13T14:35:18.000Z,/tcmeb/status/1316024721666793479,"Öğrencilerimizin, öğretmenlerimizin ve tüm çalışanlarımızın sağlığı ve güvenliği için tedbirlerimizle hazırız.

Okullarda Covid-19 şüphesi durumunda, Sağlık Bakanlığının Bilimsel Danışma Kurulu çalışmasıyla hazırladığı rehberde belirtilen tüm adımlar güvenle uygulanıyor.",59,59,59
@tcmeb,2020-10-14T09:55:24.000Z,/tcmeb/status/1316316667631341570,"HES kodu ile öğrenci ve öğretmenlerimiz nasıl takip ediliyor
#Hocambirdakika",67,67,67
@tcmeb,2020-10-14T08:10:14.000Z,/tcmeb/status/1316290203343036417,"Bir Sorum Var 
 Ders saatleri azaltılacak ama müfredat aynı. Peki dersler nasıl yetişecek
#Hocambirdakika",84,84,84
@ziyaselcuk,2020-10-14T06:39:24.000Z,/ziyaselcuk/status/1316267341999681536,"Yüz yüze eğitimin ikinci aşamasında milyonlarca öğrencimizi okullarına ve öğretmenlerine sağlıkla ve güvenle kavuşturmanın heyecanını yaşıyoruz. Velilerimizin tedbirlerdeki duyarlılığıyla diliyoruz ki tüm öğrencilerimizle okullarımızda buluşalım. İşte, bir haftanın özeti...",113,113,113
@tcmeb,2020-10-13T15:05:19.000Z,/tcmeb/status/1316032275390369793,"Okullarda Covid-19 vakası durumunda, Sağlık Bakanlığının Bilimsel Danışma Kurulu çalışmasıyla hazırladığı rehberdeki yol haritası adım adım takip edilecek",21,21,21
@tcmeb,2020-10-13T14:35:18.000Z,/tcmeb/status/1316024721666793479,"Öğrencilerimizin, öğretmenlerimizin ve tüm çalışanlarımızın sağlığı ve güvenliği için tedbirlerimizle hazırız.

Okullarda Covid-19 şüphesi durumunda, Sağlık Bakanlığının Bilimsel Danışma Kurulu çalışmasıyla hazırladığı rehberde belirtilen tüm adımlar güvenle uygulanıyor.",59,59,59
@tcmeb,2020-10-14T09:55:24.000Z,/tcmeb/status/1316316667631341570,"HES kodu ile öğrenci ve öğretmenlerimiz nasıl takip ediliyor
#Hocambirdakika",67,67,67
@tcmeb,2020-10-14T08:10:14.000Z,/tcmeb/status/1316290203343036417,"Bir Sorum Var 
 Ders saatleri azaltılacak ama müfredat aynı. Peki dersler nasıl yetişecek
#Hocambirdakika",84,84,84
@ziyaselcuk,2020-10-14T06:39:24.000Z,/ziyaselcuk/status/1316267341999681536,"Yüz yüze eğitimin ikinci aşamasında milyonlarca öğrencimizi okullarına ve öğretmenlerine sağlıkla ve güvenle kavuşturmanın heyecanını yaşıyoruz. Velilerimizin tedbirlerdeki duyarlılığıyla diliyoruz ki tüm öğrencilerimizle okullarımızda buluşalım. İşte, bir haftanın özeti...",113,113,113
@tcmeb,2020-10-13T15:05:19.000Z,/tcmeb/status/1316032275390369793,"Okullarda Covid-19 vakası durumunda, Sağlık Bakanlığının Bilimsel Danışma Kurulu çalışmasıyla hazırladığı rehberdeki yol haritası adım adım takip edilecek",21,21,21
@tcmeb,2020-10-13T14:35:18.000Z,/tcmeb/status/1316024721666793479,"Öğrencilerimizin, öğretmenlerimizin ve tüm çalışanlarımızın sağlığı ve güvenliği için tedbirlerimizle hazırız.

Okullarda Covid-19 şüphesi durumunda, Sağlık Bakanlığının Bilimsel Danışma Kurulu çalışmasıyla hazırladığı rehberde belirtilen tüm adımlar güvenle uygulanıyor.",59,59,59
@tcmeb,2020-10-14T09:55:24.000Z,/tcmeb/status/1316316667631341570,"HES kodu ile öğrenci ve öğretmenlerimiz nasıl takip ediliyor
#Hocambirdakika",67,67,67
@tcmeb,2020-10-14T08:10:14.000Z,/tcmeb/status/1316290203343036417,"Bir Sorum Var 
 Ders saatleri azaltılacak ama müfredat aynı. Peki dersler nasıl yetişecek
#Hocambirdakika",84,84,84
@ziyaselcuk,2020-10-14T06:39:24.000Z,/ziyaselcuk/status/1316267341999681536,"Yüz yüze eğitimin ikinci aşamasında milyonlarca öğrencimizi okullarına ve öğretmenlerine sağlıkla ve güvenle kavuşturmanın heyecanını yaşıyoruz. Velilerimizin tedbirlerdeki duyarlılığıyla diliyoruz ki tüm öğrencilerimizle okullarımızda buluşalım. İşte, bir haftanın özeti...",113,113,113
@tcmeb,2020-10-13T15:05:19.000Z,/tcmeb/status/1316032275390369793,"Okullarda Covid-19 vakası durumunda, Sağlık Bakanlığının Bilimsel Danışma Kurulu çalışmasıyla hazırladığı rehberdeki yol haritası adım adım takip edilecek",21,21,21
@tcmeb,2020-10-13T14:35:18.000Z,/tcmeb/status/1316024721666793479,"Öğrencilerimizin, öğretmenlerimizin ve tüm çalışanlarımızın sağlığı ve güvenliği için tedbirlerimizle hazırız.

Okullarda Covid-19 şüphesi durumunda, Sağlık Bakanlığının Bilimsel Danışma Kurulu çalışmasıyla hazırladığı rehberde belirtilen tüm adımlar güvenle uygulanıyor.",59,59,59
@tcmeb,2020-10-14T09:55:24.000Z,/tcmeb/status/1316316667631341570,"HES kodu ile öğrenci ve öğretmenlerimiz nasıl takip ediliyor
#Hocambirdakika",67,67,67
@tcmeb,2020-10-14T08:10:14.000Z,/tcmeb/status/1316290203343036417,"Bir Sorum Var 
 Ders saatleri azaltılacak ama müfredat aynı. Peki dersler nasıl yetişecek
#Hocambirdakika",84,84,84
@ziyaselcuk,2020-10-14T06:39:24.000Z,/ziyaselcuk/status/1316267341999681536,"Yüz yüze eğitimin ikinci aşamasında milyonlarca öğrencimizi okullarına ve öğretmenlerine sağlıkla ve güvenle kavuşturmanın heyecanını yaşıyoruz. Velilerimizin tedbirlerdeki duyarlılığıyla diliyoruz ki tüm öğrencilerimizle okullarımızda buluşalım. İşte, bir haftanın özeti...",113,113,113
@tcmeb,2020-10-13T15:05:19.000Z,/tcmeb/status/1316032275390369793,"Okullarda Covid-19 vakası durumunda, Sağlık Bakanlığının Bilimsel Danışma Kurulu çalışmasıyla hazırladığı rehberdeki yol haritası adım adım takip edilecek",21,21,21
@tcmeb,2020-10-13T14:35:18.000Z,/tcmeb/status/1316024721666793479,"Öğrencilerimizin, öğretmenlerimizin ve tüm çalışanlarımızın sağlığı ve güvenliği için tedbirlerimizle hazırız.

Okullarda Covid-19 şüphesi durumunda, Sağlık Bakanlığının Bilimsel Danışma Kurulu çalışmasıyla hazırladığı rehberde belirtilen tüm adımlar güvenle uygulanıyor.",59,59,59
@tcmeb,2020-10-14T09:55:24.000Z,/tcmeb/status/1316316667631341570,"HES kodu ile öğrenci ve öğretmenlerimiz nasıl takip ediliyor
#Hocambirdakika",67,67,67
@tcmeb,2020-10-14T08:10:14.000Z,/tcmeb/status/1316290203343036417,"Bir Sorum Var 
 Ders saatleri azaltılacak ama müfredat aynı. Peki dersler nasıl yetişecek
#Hocambirdakika",84,84,84
@ziyaselcuk,2020-10-14T06:39:24.000Z,/ziyaselcuk/status/1316267341999681536,"Yüz yüze eğitimin ikinci aşamasında milyonlarca öğrencimizi okullarına ve öğretmenlerine sağlıkla ve güvenle kavuşturmanın heyecanını yaşıyoruz. Velilerimizin tedbirlerdeki duyarlılığıyla diliyoruz ki tüm öğrencilerimizle okullarımızda buluşalım. İşte, bir haftanın özeti...",113,113,113
@tcmeb,2020-10-13T15:05:19.000Z,/tcmeb/status/1316032275390369793,"Okullarda Covid-19 vakası durumunda, Sağlık Bakanlığının Bilimsel Danışma Kurulu çalışmasıyla hazırladığı rehberdeki yol haritası adım adım takip edilecek",21,21,21
@tcmeb,2020-10-13T14:35:18.000Z,/tcmeb/status/1316024721666793479,"Öğrencilerimizin, öğretmenlerimizin ve tüm çalışanlarımızın sağlığı ve güvenliği için tedbirlerimizle hazırız.

Okullarda Covid-19 şüphesi durumunda, Sağlık Bakanlığının Bilimsel Danışma Kurulu çalışmasıyla hazırladığı rehberde belirtilen tüm adımlar güvenle uygulanıyor.",59,59,59
@tcmeb,2020-10-14T09:55:24.000Z,/tcmeb/status/1316316667631341570,"HES kodu ile öğrenci ve öğretmenlerimiz nasıl takip ediliyor
#Hocambirdakika",67,67,67
@tcmeb,2020-10-14T08:10:14.000Z,/tcmeb/status/1316290203343036417,"Bir Sorum Var 
 Ders saatleri azaltılacak ama müfredat aynı. Peki dersler nasıl yetişecek
#Hocambirdakika",84,84,84
@ziyaselcuk,2020-10-14T06:39:24.000Z,/ziyaselcuk/status/1316267341999681536,"Yüz yüze eğitimin ikinci aşamasında milyonlarca öğrencimizi okullarına ve öğretmenlerine sağlıkla ve güvenle kavuşturmanın heyecanını yaşıyoruz. Velilerimizin tedbirlerdeki duyarlılığıyla diliyoruz ki tüm öğrencilerimizle okullarımızda buluşalım. İşte, bir haftanın özeti...",113,113,113
@tcmeb,2020-10-13T15:05:19.000Z,/tcmeb/status/1316032275390369793,"Okullarda Covid-19 vakası durumunda, Sağlık Bakanlığının Bilimsel Danışma Kurulu çalışmasıyla hazırladığı rehberdeki yol haritası adım adım takip edilecek",21,21,21
@tcmeb,2020-10-13T14:35:18.000Z,/tcmeb/status/1316024721666793479,"Öğrencilerimizin, öğretmenlerimizin ve tüm çalışanlarımızın sağlığı ve güvenliği için tedbirlerimizle hazırız.

Okullarda Covid-19 şüphesi durumunda, Sağlık Bakanlığının Bilimsel Danışma Kurulu çalışmasıyla hazırladığı rehberde belirtilen tüm adımlar güvenle uygulanıyor.",59,59,59
@tcmeb,2020-10-14T09:55:24.000Z,/tcmeb/status/1316316667631341570,"HES kodu ile öğrenci ve öğretmenlerimiz nasıl takip ediliyor
#Hocambirdakika",67,67,67
@tcmeb,2020-10-14T08:10:14.000Z,/tcmeb/status/1316290203343036417,"Bir Sorum Var 
 Ders saatleri azaltılacak ama müfredat aynı. Peki dersler nasıl yetişecek
#Hocambirdakika",84,84,84
@ziyaselcuk,2020-10-14T06:39:24.000Z,/ziyaselcuk/status/1316267341999681536,"Yüz yüze eğitimin ikinci aşamasında milyonlarca öğrencimizi okullarına ve öğretmenlerine sağlıkla ve güvenle kavuşturmanın heyecanını yaşıyoruz. Velilerimizin tedbirlerdeki duyarlılığıyla diliyoruz ki tüm öğrencilerimizle okullarımızda buluşalım. İşte, bir haftanın özeti...",113,113,113
@tcmeb,2020-10-13T15:05:19.000Z,/tcmeb/status/1316032275390369793,"Okullarda Covid-19 vakası durumunda, Sağlık Bakanlığının Bilimsel Danışma Kurulu çalışmasıyla hazırladığı rehberdeki yol haritası adım adım takip edilecek",21,21,21
@tcmeb,2020-10-13T14:35:18.000Z,/tcmeb/status/1316024721666793479,"Öğrencilerimizin, öğretmenlerimizin ve tüm çalışanlarımızın sağlığı ve güvenliği için tedbirlerimizle hazırız.

Okullarda Covid-19 şüphesi durumunda, Sağlık Bakanlığının Bilimsel Danışma Kurulu çalışmasıyla hazırladığı rehberde belirtilen tüm adımlar güvenle uygulanıyor.",59,59,59
@tcmeb,2020-10-14T09:55:24.000Z,/tcmeb/status/1316316667631341570,"HES kodu ile öğrenci ve öğretmenlerimiz nasıl takip ediliyor
#Hocambirdakika",67,67,67
@tcmeb,2020-10-14T08:10:14.000Z,/tcmeb/status/1316290203343036417,"Bir Sorum Var 
 Ders saatleri azaltılacak ama müfredat aynı. Peki dersler nasıl yetişecek
#Hocambirdakika",84,84,84
@ziyaselcuk,2020-10-14T06:39:24.000Z,/ziyaselcuk/status/1316267341999681536,"Yüz yüze eğitimin ikinci aşamasında milyonlarca öğrencimizi okullarına ve öğretmenlerine sağlıkla ve güvenle kavuşturmanın heyecanını yaşıyoruz. Velilerimizin tedbirlerdeki duyarlılığıyla diliyoruz ki tüm öğrencilerimizle okullarımızda buluşalım. İşte, bir haftanın özeti...",113,113,113
@tcmeb,2020-10-13T15:05:19.000Z,/tcmeb/status/1316032275390369793,"Okullarda Covid-19 vakası durumunda, Sağlık Bakanlığının Bilimsel Danışma Kurulu çalışmasıyla hazırladığı rehberdeki yol haritası adım adım takip edilecek",21,21,21
@tcmeb,2020-10-13T14:35:18.000Z,/tcmeb/status/1316024721666793479,"Öğrencilerimizin, öğretmenlerimizin ve tüm çalışanlarımızın sağlığı ve güvenliği için tedbirlerimizle hazırız.

Okullarda Covid-19 şüphesi durumunda, Sağlık Bakanlığının Bilimsel Danışma Kurulu çalışmasıyla hazırladığı rehberde belirtilen tüm adımlar güvenle uygulanıyor.",59,59,59
@tcmeb,2020-10-14T09:55:24.000Z,/tcmeb/status/1316316667631341570,"HES kodu ile öğrenci ve öğretmenlerimiz nasıl takip ediliyor
#Hocambirdakika",67,67,67
@tcmeb,2020-10-14T08:10:14.000Z,/tcmeb/status/1316290203343036417,"Bir Sorum Var 
 Ders saatleri azaltılacak ama müfredat aynı. Peki dersler nasıl yetişecek
#Hocambirdakika",84,84,84
@ziyaselcuk,2020-10-14T06:39:24.000Z,/ziyaselcuk/status/1316267341999681536,"Yüz yüze eğitimin ikinci aşamasında milyonlarca öğrencimizi okullarına ve öğretmenlerine sağlıkla ve güvenle kavuşturmanın heyecanını yaşıyoruz. Velilerimizin tedbirlerdeki duyarlılığıyla diliyoruz ki tüm öğrencilerimizle okullarımızda buluşalım. İşte, bir haftanın özeti...",113,113,113
@tcmeb,2020-10-13T15:05:19.000Z,/tcmeb/status/1316032275390369793,"Okullarda Covid-19 vakası durumunda, Sağlık Bakanlığının Bilimsel Danışma Kurulu çalışmasıyla hazırladığı rehberdeki yol haritası adım adım takip edilecek",21,21,21
@tcmeb,2020-10-13T14:35:18.000Z,/tcmeb/status/1316024721666793479,"Öğrencilerimizin, öğretmenlerimizin ve tüm çalışanlarımızın sağlığı ve güvenliği için tedbirlerimizle hazırız.

Okullarda Covid-19 şüphesi durumunda, Sağlık Bakanlığının Bilimsel Danışma Kurulu çalışmasıyla hazırladığı rehberde belirtilen tüm adımlar güvenle uygulanıyor.",59,59,59
@tcmeb,2020-10-14T09:55:24.000Z,/tcmeb/status/1316316667631341570,"HES kodu ile öğrenci ve öğretmenlerimiz nasıl takip ediliyor
#Hocambirdakika",67,67,67
@tcmeb,2020-10-14T08:10:14.000Z,/tcmeb/status/1316290203343036417,"Bir Sorum Var 
 Ders saatleri azaltılacak ama müfredat aynı. Peki dersler nasıl yetişecek
#Hocambirdakika",84,84,84
@ziyaselcuk,2020-10-14T06:39:24.000Z,/ziyaselcuk/status/1316267341999681536,"Yüz yüze eğitimin ikinci aşamasında milyonlarca öğrencimizi okullarına ve öğretmenlerine sağlıkla ve güvenle kavuşturmanın heyecanını yaşıyoruz. Velilerimizin tedbirlerdeki duyarlılığıyla diliyoruz ki tüm öğrencilerimizle okullarımızda buluşalım. İşte, bir haftanın özeti...",113,113,113
@tcmeb,2020-10-13T15:05:19.000Z,/tcmeb/status/1316032275390369793,"Okullarda Covid-19 vakası durumunda, Sağlık Bakanlığının Bilimsel Danışma Kurulu çalışmasıyla hazırladığı rehberdeki yol haritası adım adım takip edilecek",21,21,21
@tcmeb,2020-10-13T14:35:18.000Z,/tcmeb/status/1316024721666793479,"Öğrencilerimizin, öğretmenlerimizin ve tüm çalışanlarımızın sağlığı ve güvenliği için tedbirlerimizle hazırız.

Okullarda Covid-19 şüphesi durumunda, Sağlık Bakanlığının Bilimsel Danışma Kurulu çalışmasıyla hazırladığı rehberde belirtilen tüm adımlar güvenle uygulanıyor.",59,59,59
@tcmeb,2020-10-14T09:55:24.000Z,/tcmeb/status/1316316667631341570,"HES kodu ile öğrenci ve öğretmenlerimiz nasıl takip ediliyor
#Hocambirdakika",67,67,67
@tcmeb,2020-10-14T08:10:14.000Z,/tcmeb/status/1316290203343036417,"Bir Sorum Var 
 Ders saatleri azaltılacak ama müfredat aynı. Peki dersler nasıl yetişecek
#Hocambirdakika",84,84,84
@ziyaselcuk,2020-10-14T06:39:24.000Z,/ziyaselcuk/status/1316267341999681536,"Yüz yüze eğitimin ikinci aşamasında milyonlarca öğrencimizi okullarına ve öğretmenlerine sağlıkla ve güvenle kavuşturmanın heyecanını yaşıyoruz. Velilerimizin tedbirlerdeki duyarlılığıyla diliyoruz ki tüm öğrencilerimizle okullarımızda buluşalım. İşte, bir haftanın özeti...",113,113,113
@tcmeb,2020-10-13T15:05:19.000Z,/tcmeb/status/1316032275390369793,"Okullarda Covid-19 vakası durumunda, Sağlık Bakanlığının Bilimsel Danışma Kurulu çalışmasıyla hazırladığı rehberdeki yol haritası adım adım takip edilecek",21,21,21
@tcmeb,2020-10-13T14:35:18.000Z,/tcmeb/status/1316024721666793479,"Öğrencilerimizin, öğretmenlerimizin ve tüm çalışanlarımızın sağlığı ve güvenliği için tedbirlerimizle hazırız.

Okullarda Covid-19 şüphesi durumunda, Sağlık Bakanlığının Bilimsel Danışma Kurulu çalışmasıyla hazırladığı rehberde belirtilen tüm adımlar güvenle uygulanıyor.",59,59,59
@tcmeb,2020-10-14T09:55:24.000Z,/tcmeb/status/1316316667631341570,"HES kodu ile öğrenci ve öğretmenlerimiz nasıl takip ediliyor
#Hocambirdakika",67,67,67
@tcmeb,2020-10-14T08:10:14.000Z,/tcmeb/status/1316290203343036417,"Bir Sorum Var 
 Ders saatleri azaltılacak ama müfredat aynı. Peki dersler nasıl yetişecek
#Hocambirdakika",84,84,84
@ziyaselcuk,2020-10-14T06:39:24.000Z,/ziyaselcuk/status/1316267341999681536,"Yüz yüze eğitimin ikinci aşamasında milyonlarca öğrencimizi okullarına ve öğretmenlerine sağlıkla ve güvenle kavuşturmanın heyecanını yaşıyoruz. Velilerimizin tedbirlerdeki duyarlılığıyla diliyoruz ki tüm öğrencilerimizle okullarımızda buluşalım. İşte, bir haftanın özeti...",113,113,113
@tcmeb,2020-10-13T15:05:19.000Z,/tcmeb/status/1316032275390369793,"Okullarda Covid-19 vakası durumunda, Sağlık Bakanlığının Bilimsel Danışma Kurulu çalışmasıyla hazırladığı rehberdeki yol haritası adım adım takip edilecek",21,21,21
@tcmeb,2020-10-13T14:35:18.000Z,/tcmeb/status/1316024721666793479,"Öğrencilerimizin, öğretmenlerimizin ve tüm çalışanlarımızın sağlığı ve güvenliği için tedbirlerimizle hazırız.

Okullarda Covid-19 şüphesi durumunda, Sağlık Bakanlığının Bilimsel Danışma Kurulu çalışmasıyla hazırladığı rehberde belirtilen tüm adımlar güvenle uygulanıyor.",59,59,59
@tcmeb,2020-10-14T09:55:24.000Z,/tcmeb/status/1316316667631341570,"HES kodu ile öğrenci ve öğretmenlerimiz nasıl takip ediliyor
#Hocambirdakika",67,67,67
@tcmeb,2020-10-14T08:10:14.000Z,/tcmeb/status/1316290203343036417,"Bir Sorum Var 
 Ders saatleri azaltılacak ama müfredat aynı. Peki dersler nasıl yetişecek
#Hocambirdakika",84,84,84
@ziyaselcuk,2020-10-14T06:39:24.000Z,/ziyaselcuk/status/1316267341999681536,"Yüz yüze eğitimin ikinci aşamasında milyonlarca öğrencimizi okullarına ve öğretmenlerine sağlıkla ve güvenle kavuşturmanın heyecanını yaşıyoruz. Velilerimizin tedbirlerdeki duyarlılığıyla diliyoruz ki tüm öğrencilerimizle okullarımızda buluşalım. İşte, bir haftanın özeti...",113,113,113
@tcmeb,2020-10-13T15:05:19.000Z,/tcmeb/status/1316032275390369793,"Okullarda Covid-19 vakası durumunda, Sağlık Bakanlığının Bilimsel Danışma Kurulu çalışmasıyla hazırladığı rehberdeki yol haritası adım adım takip edilecek",21,21,21
@tcmeb,2020-10-13T14:35:18.000Z,/tcmeb/status/1316024721666793479,"Öğrencilerimizin, öğretmenlerimizin ve tüm çalışanlarımızın sağlığı ve güvenliği için tedbirlerimizle hazırız.

Okullarda Covid-19 şüphesi durumunda, Sağlık Bakanlığının Bilimsel Danışma Kurulu çalışmasıyla hazırladığı rehberde belirtilen tüm adımlar güvenle uygulanıyor.",59,59,59
@tcmeb,2020-10-14T09:55:24.000Z,/tcmeb/status/1316316667631341570,"HES kodu ile öğrenci ve öğretmenlerimiz nasıl takip ediliyor
#Hocambirdakika",67,67,67
@tcmeb,2020-10-14T08:10:14.000Z,/tcmeb/status/1316290203343036417,"Bir Sorum Var 
 Ders saatleri azaltılacak ama müfredat aynı. Peki dersler nasıl yetişecek
#Hocambirdakika",84,84,84
@ziyaselcuk,2020-10-14T06:39:24.000Z,/ziyaselcuk/status/1316267341999681536,"Yüz yüze eğitimin ikinci aşamasında milyonlarca öğrencimizi okullarına ve öğretmenlerine sağlıkla ve güvenle kavuşturmanın heyecanını yaşıyoruz. Velilerimizin tedbirlerdeki duyarlılığıyla diliyoruz ki tüm öğrencilerimizle okullarımızda buluşalım. İşte, bir haftanın özeti...",113,113,113
